iter	Passed	Remaining
191	5765	24261
192	5795	24234
193	5822	24189
194	5850	24153
195	5878	24113
196	5907	24078
197	5935	24041
198	5964	24008
199	5992	23971
200	6021	23935
201	6049	23896
202	6073	23846
203	6099	23799
204	6127	23762
205	6158	23736
206	6186	23700
207	6215	23665
208	6244	23632
209	6274	23603
210	6303	23572
211	6334	23543
212	6363	23511
213	6394	23486
214	6422	23451
215	6452	23420
216	6482	23390
217	6512	23360
218	6539	23320
219	6568	23289
220	6598	23258
221	6626	23223
222	6654	23185
223	6683	23152
224	6710	23115
225	6741	23087
226	6771	23059
227	6799	23023
228	6829	22993
229	6858	22961
230	6887	22929
231	6917	22900
232	6945	22863
233	6972	22824
234	7001	22792
235	7028	22751
236	7055	22715
237	7085	22684
238	7115	22657
239	7144	22624
240	7173	22590
241	7201	22555
242	7231	22526
243	7261	22497
244	7292	22471
245	7325	22454
246	7357	22430
247	7388	22405
248	7420	22380
249	7450	22350
250	7481	22323
251	7511	22296
252	7539	22260
253	7565	22221
254	7594	22187
255	7623	22157
256	7652	22123
257	7684	22099
258	7710	22061
259	7739	22026
260	7768	21996
261	7800	21971
262	7828	21938
263	7858	21908
264	7884	21869
265	7912	21832
266	7940	21799
267	7970	21770
268	7999	21737
269	8028	21706
270	8059	21679
271	8088	21647
272	8124	21636
273	8155	21610
274	8184	21578
275	8212	21542
276	8241	21511
277	8272	21484
278	8301	21453
279	8330	21421
280	8359	21390
281	8387	21355
282	8415	21320
283	8444	21289
284	8473	21258
285	8502	21226
286	8530	21192
287	8559	21160
288	8586	21124
289	8615	21093
290	8644	21060
291	8672	21026
292	8699	20991
293	8727	20958
294	8755	20923
295	8783	20889
296	8810	20854
297	8836	20817
298	8866	20787
299	8895	20755
300	8925	20728
301	8954	20695
302	8983	20664
303	9013	20635
304	9041	20603
305	9070	20572
306	9100	20541
307	9130	20513
308	9159	20482
309	9186	20447
310	9216	20417
311	9246	20390
312	9276	20359
313	9303	20325
314	9332	20293
315	9360	20261
316	9393	20239
317	9425	20213
318	9455	20184
319	9485	20155
320	9513	20123
321	9541	20091
322	9569	20058
323	9598	20026
324	9626	19993
325	9654	19960
326	9681	19925
327	9708	19890
328	9736	19857
329	9763	19822
330	9790	19787
331	9819	19757
332	9848	19726
333	9878	19696
334	9912	19677
335	9944	19651
336	9974	19623
337	10002	19590
338	10030	19557
339	10057	19523
340	10082	19485
341	10110	19452
342	10138	19420
343	10167	19390
344	10196	19358
345	10223	19324
346	10250	19290
347	10277	19255
348	10302	19217
349	10329	19182
350	10356	19149
351	10385	19119
352	10414	19087
353	10439	19051
354	10465	19014
355	10492	18980
356	10521	18950
357	10550	18919
358	10578	18888
359	10607	18858
360	10635	18825
361	10661	18790
362	10688	18756
363	10715	18723
364	10742	18689
365	10770	18657
366	10798	18624
367	10824	18589
368	10851	18556
369	10880	18525
370	10905	18489
371	10931	18454
372	10960	18423
373	10991	18396
374	11021	18369
375	11052	18342
376	11083	18316
377	11113	18287
378	11144	18259
379	11173	18230
380	11202	18200
381	11235	18176
382	11265	18148
383	11300	18127
384	11330	18099
385	11365	18078
386	11400	18058
387	11437	18040
388	11466	18010
389	11497	17982
390	11526	17953
391	11558	17926
392	11588	17898
393	11616	17867
394	11645	17837
395	11675	17808
396	11706	17780
397	11733	17747
398	11761	17716
399	11789	17684
400	11815	17649
